GEO ID,GEO ID Description,GEO Category,County Name,Indicator Order on State Dashboard,Indicator Order on County Dashboard,Indicator ID,Indicator,Event Count,Average Number of Denominator,Percentage/Rate,Data Comments,Measure Unit,Data Years,Data Source
2572,Arietta town,MCD/CD,Hamilton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2,4,14.3,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
2605,Arkwright town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,11,41.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2759,Ashford town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),26,25,26.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2781,Ashland town,MCD/CD,Chemung,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,24,18.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2803,Ashland town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,11,26.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
2913,Athens town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),32,43,18.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3012,Attica town,MCD/CD,Wyoming,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),45,40,28.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3078,Auburn city,MCD/CD,Cayuga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),381,428,22.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3155,Augusta town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,17,29,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3166,Aurelius town,MCD/CD,Cayuga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),27,28,24.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3199,Aurora town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),90,157,14.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3221,Au Sable town,MCD/CD,Clinton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),43,35,30.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3287,Austerlitz town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,16,23.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3309,Ava town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,4,25,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
3342,Avoca town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),22,24,23.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
3364,Avon town,MCD/CD,Livingston,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),58,70,20.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4000,Babylon town,MCD/CD,Suffolk,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2033,2065,24.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4044,Bainbridge town,MCD/CD,Chenango,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),36,44,20.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4132,Baldwin town,MCD/CD,Chemung,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,8,28.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
4220,Ballston town,MCD/CD,Saratoga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),57,101,14.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4319,Bangor town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),27,22,31,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4429,Barker town,MCD/CD,Broome,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),26,22,29.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4572,Barre town,MCD/CD,Orleans,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,19,19.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4594,Barrington town,MCD/CD,Yates,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),14,14,25.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4671,Barton town,MCD/CD,Tioga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),108,132,20.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4715,Batavia city,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),233,264,22.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4726,Batavia town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),44,61,18.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
4770,Bath town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),188,203,23.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5100,Beacon city,MCD/CD,Dutchess,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),133,143,23.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5320,Bedford town,MCD/CD,Westchester,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),60,96,15.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5452,Beekman town,MCD/CD,Dutchess,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),97,86,28.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5485,Beekmantown town,MCD/CD,Clinton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),55,49,28.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5573,Belfast town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,16,27,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5716,Bellmont town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,14,29.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5936,Bennington town,MCD/CD,Wyoming,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,30,14.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
5958,Benson town,MCD/CD,Hamilton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),0,1,0,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
6002,Benton town,MCD/CD,Yates,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),35,60,14.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6057,Bergen town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),32,30,26.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6145,Berkshire town,MCD/CD,Tioga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,17,25.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6189,Berlin town,MCD/CD,Rensselaer,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,18,12.3,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
6211,Berne town,MCD/CD,Albany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,27,16.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6266,Bethany town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,14,22.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6310,Bethel town,MCD/CD,Sullivan,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),48,52,23,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6354,Bethlehem town,MCD/CD,Albany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),188,319,14.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6475,Big Flats town,MCD/CD,Chemung,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),70,91,19.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6607,Binghamton city,MCD/CD,Broome,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),652,546,29.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6618,Binghamton town,MCD/CD,Broome,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),28,41,17.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6717,Birdsall town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),0,2,0,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
6761,Black Brook town,MCD/CD,Clinton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,18,28.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
6882,Bleecker town,MCD/CD,Fulton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),8,5,38.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
6893,Blenheim town,MCD/CD,Schoharie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,4,26.7,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
7003,Blooming Grove town,MCD/CD,Orange,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),151,135,28,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7201,Bolivar town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),29,27,27.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7234,Bolton town,MCD/CD,Warren,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,27,21.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7278,Bombay town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,11,28.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7366,Boonville town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),50,82,15.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7454,Boston town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),69,79,21.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7597,Bovina town,MCD/CD,Delaware,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,6,18.2,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
7674,Boylston town,MCD/CD,Oswego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),2,4,13.3,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
7740,Bradford town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4,8,13.3,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
7839,Brandon town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,7,32.1,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
7894,Brant town,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),11,20,13.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
7938,Brasher town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),31,31,25,,Percentage,2019-2022,"Vital Records, data as of November 2024"
8180,Bridgewater town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,13,40,,Percentage,2019-2022,"Vital Records, data as of November 2024"
8213,Brighton town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),9,8,30,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
8246,Brighton town,MCD/CD,Monroe,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),188,497,9.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
8378,Bristol town,MCD/CD,Ontario,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),18,20,22.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
8433,Broadalbin town,MCD/CD,Fulton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),45,54,20.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
8587,Brookfield town,MCD/CD,Madison,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),22,19,29.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
10000,Brookhaven town,MCD/CD,Suffolk,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4307,4425,24.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
10154,Broome town,MCD/CD,Schoharie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),14,15,24.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
10242,Brownville town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),51,55,23.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
10275,Brunswick town,MCD/CD,Rensselaer,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),117,132,22.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
10297,Brutus town,MCD/CD,Cayuga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),53,41,32.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11000,Buffalo city,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),4209,2805,37.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11165,Burke town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),6,12,12.8,Unstable Estimate,Percentage,2019-2022,"Vital Records, data as of November 2024"
11209,Burlington town,MCD/CD,Otsego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,13,18.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11253,Burns town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,14,27.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11451,Busti town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),72,96,18.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11473,Butler town,MCD/CD,Wayne,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),22,21,26.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11528,Butternuts town,MCD/CD,Otsego,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,24,18.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11572,Byron town,MCD/CD,Genesee,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),25,21,29.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11649,Cairo town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),81,82,24.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11715,Caledonia town,MCD/CD,Livingston,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),36,44,20.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11759,Callicoon town,MCD/CD,Sullivan,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),26,31,21,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11803,Cambria town,MCD/CD,Niagara,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),34,56,15.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11836,Cambridge town,MCD/CD,Washington,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,17,25.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11858,Camden town,MCD/CD,Oneida,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),57,52,27.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11880,Cameron town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),14,11,31.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11913,Camillus town,MCD/CD,Onondaga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),174,274,15.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
11946,Campbell town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),38,36,26.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12056,Canaan town,MCD/CD,Columbia,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,14,17.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12100,Canadice town,MCD/CD,Ontario,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,21,15.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12122,Canajoharie town,MCD/CD,Montgomery,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),41,43,23.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12144,Canandaigua city,MCD/CD,Ontario,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),92,152,15.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12155,Canandaigua town,MCD/CD,Ontario,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),104,147,17.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12221,Candor town,MCD/CD,Tioga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),57,50,28.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12243,Caneadea town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,30,10,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12265,Canisteo town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),41,44,23.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12342,Canton town,MCD/CD,St. Lawrence,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),60,110,13.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12364,Cape Vincent town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),19,26,18.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12452,Carlisle town,MCD/CD,Schoharie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),12,13,23.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12496,Carlton town,MCD/CD,Orleans,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),21,30,17.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12529,Carmel town,MCD/CD,Putnam,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),198,266,18.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12573,Caroga town,MCD/CD,Fulton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),11,16,17.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12606,Caroline town,MCD/CD,Tompkins,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),29,24,30.9,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12639,Carroll town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),36,45,20.2,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12661,Carrollton town,MCD/CD,Cattaraugus,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,18,27.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12782,Castile town,MCD/CD,Wyoming,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),23,27,21.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12914,Catharine town,MCD/CD,Schuyler,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),21,20,26.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12947,Catlin town,MCD/CD,Chemung,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),32,23,34.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12969,Cato town,MCD/CD,Cayuga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,22,22.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
12991,Caton town,MCD/CD,Steuben,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),16,20,20.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13013,Catskill town,MCD/CD,Greene,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),172,186,23.1,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13035,Cattaraugus Reservation,MCD/CD,Erie,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),46,30,39,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13112,Cayuta town,MCD/CD,Schuyler,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),13,7,46.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13156,Cazenovia town,MCD/CD,Madison,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),31,56,13.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13475,Centerville town,MCD/CD,Allegany,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),10,7,38.5,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13717,Champion town,MCD/CD,Jefferson,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),40,47,21.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13750,Champlain town,MCD/CD,Clinton,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),63,65,24.4,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13816,Charleston town,MCD/CD,Montgomery,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),15,12,32.6,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13860,Charlotte town,MCD/CD,Chautauqua,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),25,19,33.8,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13926,Charlton town,MCD/CD,Saratoga,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),20,37,13.7,,Percentage,2019-2022,"Vital Records, data as of November 2024"
13992,Chateaugay town,MCD/CD,Franklin,1,1,pa1_0,Percentage of deaths that are premature (before age 65 years),17,18,23.3,,Percentage,2019-2022,"Vital Records, data as of November 2024"
